id,status2021EN,status2021HE,surnameHE,givenNameHE,surnameEN,givenNameEN,genderEN,genderHE,nationalityEN,nationalityHE,religionEN,religionHE,religiousityEN,religiousityHE,ethnicityEN,ethnicityHE,birthCountryEN,birthCountryHE,birthYear,majorChildhoodCityHE,majorChildhoodCityEN,citySocio,highschoolHE,educationTypeEN,educationTypeHE,armyServiceEN,armyServiceHE,mainLegalEducationEN,mainLegalEducationHE,mainLegalEducationTypeInstEN,mainLegalEducationTypeInstHE,YearFisrtDegreeGraduation,typeAdvancedLegalEducationEN,typeAdvancedLegalEducationHE,universityAdvancedLegalEducationEN,universityAdvancedLegalEducationHE,yearAdvancedLegalEducation,otherAdvancedEducationHE,placeOfInternshipEN,placeOfInternshipHE,yearOfBecomingLawyer,lastPositionBeforeJudgeshipEN,lastPositionBeforeJudgeshipEN,position1EN,position1HE,court1NameEN,court1NameHE,position1Year,position2EN,position2HE,court2NameEN,court2NameHE,position2Year,position3EN,position3HE,court3NameEN,court3NameHE,position3Year,position4EN,position4HE,court4NameEN,court4NameHE,position4Year,position5EN,position5HE,court5NameEN,court5NameHE,position5Year,position6EN,position6HE,court6NameEN,court6NameHE,position6Year,position7EN,position7HE,court7NameEN,court7NameHE,position7Year,position8EN,position8HE,court8NameEN,court8NameHE,position8Year,everInSupremeCourt,everInSupremeStartYear1,everInSupremeEndYear1,everInSupremeStartYear2,everInSupremeEndYear2,everInDistrict,everInDistrictStartYear1,everInDistrictEndYear1,everInDistrictStartYear2,everInDistrictEndYear2,everInMagistrate,everInMagistrateStartYear1,everInMagistrateEndYear1,everInMagistrateStartYear2,everInMagistrateEndYear2,everInLaborRegional,everInLaborRegionalStartYear1,everInLaborRegionalEndYear1,everInLaborRegionalStartYear2,everInLaborRegionalEndYear2,everInLaborNational,everInLaborNationalStartYear,everInLaborNationalEndYear,endOfCareerEN,endOfCareerHE,endOfCareerYear,comments,ageOfEnteringJudgeship,xpInFirstNom,ageOfRetirement,JudgeshipxpInRet
24,Inactive,אינו פעיל\ אינה פעילה,אדרת ,איתי,Aderet,Itay,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Unknown,לא ידוע,Israel\Palestine,ישראל\פלשתינה,1973,לא ידוע,Unknown,null,null,Unknown,לא ידוע,Army Service,Army Service,Britain and its Colonies,בריטניה והקולוניות,Abroad,"חו""ל",1998,Masters,Masters,Bar Ilan University (BIU),אוניברסיטת בר אילן,2002,לא ידוע,Public Prosecutor ,פרקליטות המדינה,1999,Judiciary (law clerks),סגל עזר שיפוטי,Registrar,רשמות,Labor - Beer Sheva,עבודה- באר שבע,2006,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,FALSE,,,,,TRUE,2006,9999,,,FALSE,,,null,פרישה לגמלאות,2020,-99,33,7,FALSE,null
25,Inactive,אינו פעיל\ אינה פעילה,"אבנור ז""ל",חנה,Evenor,Hanna,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Ashkenazi,אשכנזי\ה,Eastern Europe,מזרח אירופה,1919,תל אביב -יפו,Tel Aviv Jaffa,8,"גמנסיה הרצליה - ת""א",state-secular,ממלכתי,Unkown,Unkown,Law Classes (British Mandate),לימודי משפטים במנדט הבריטי,Abroad,"חו""ל",1945,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Law Firm,"משרד עו""ד",Unknown,Public Prosecutor,פרקליטות המדינה,Judge,שיפוט,District - Tel Aviv-Jaffa,מחוזי- תל אביב יפו,1964,Vice President,"סגנות לנשיאות בימ""ש",District - Tel Aviv-Jaffa,מחוזי- תל אביב יפו,1976,Acting Judge,שיפוט בפועל,Supreme Court,עליון,1983,President,"נשיאות בימ""ש",District - Tel Aviv-Jaffa,מחוזי- תל אביב יפו,1983,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Unknown,check,check,,,TRUE,1964,1982,,,FALSE,,,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,1989,נפטרה 2003,45,Unknown,70,25
26,Inactive,אינו פעיל\ אינה פעילה,אוחיון,אורי,Ohayon,Ori,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Mizrahi,מזרחי\ת,North Africa,צפון אפריקה,1949,לא ידוע,Unknown,null,מכינה קדם אקדמית בית ברל,state-secular,ממלכתי,Army Service,Army Service,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,1978,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Law Firm,"משרד עו""ד",1979,Law Firm,"משרד עו""ד",Registrar,רשמות,Magistrate - Haifa,שלום- חיפה,1990,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,1990,2012,,,FALSE,,,,,FALSE,,,Apoointed other Public Position,מינוי למשרה ציבורית אחרת,2012,,41,11,63,22
27,Inactive,אינו פעיל\ אינה פעילה,"אולסקר ז""ל",אהרון,Aolskr,Aharon,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Ashkenazi,אשכנזי\ה,Eastern Europe,מזרח אירופה,1909,חוץ לארץ,abroad,null,null,Unknown,לא ידוע,Unkown,Unkown,Eastern Europe,מזרח אירופה,Abroad,"חו""ל",1934,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Law Firm,"משרד עו""ד",1948,Judiciary (law clerks),סגל עזר שיפוטי,Registrar,רשמות,District - Tel Aviv-Jaffa,מחוזי- תל אביב יפו,1950,Judge,שיפוט,Magistrate - Tel Aviv-Jaffa,שלום- תל אביב יפו,1951,Judge,שיפוט,District - Tel Aviv-Jaffa,מחוזי- תל אביב יפו,1972,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,TRUE,1950,1950,1972,1981,TRUE,1951,1971,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,1981,נפטר,41,2,72,31
28,Inactive,אינו פעיל\ אינה פעילה,ליפס גדעוני,ציונה,Leafs Gidoni,Ziona,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Ashkenazi,אשכנזי\ה,Eastern Europe,מזרח אירופה,1938,גבעתיים,Givatayim,8,null,Unknown,לא ידוע,Army Service,Army Service,Tel Aviv University,אוניברסיטת תל אביב,University,אוניברסיטה,1962,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Public Prosecutor ,פרקליטות המדינה,1965,Government department/agency,משרד או רשות ממשלתית,Registrar,רשמות,Labor - Tel Aviv,עבודה- תל אביב,1969,Judge,שיפוט,Labor - Tel Aviv,עבודה- תל אביב,1975,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,FALSE,,,,,TRUE,1969,1989,,,FALSE,,,deceased,פטירה,1989,,31,4,51,20
29,Inactive,אינו פעיל\ אינה פעילה,"אולשן יצחק ז""ל",יצחק,,Isaac,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Ashkenazi,אשכנזי\ה,Eastern Europe,מזרח אירופה,1895,תל אביב -יפו,Tel Aviv Jaffa,8,גימנסיה הרצליה,state-secular,ממלכתי,Unkown,Unkown,Britain and its Colonies,בריטניה והקולוניות,Abroad,"חו""ל",1927,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Unknown,לא ידוע,1927,Law Firm,"משרד עו""ד",Judge,שיפוט,Supreme Court,עליון,1948,Vice President,"סגנות לנשיאות בימ""ש",Supreme Court,עליון,1953,President,"נשיאות בימ""ש",Supreme Court,עליון,1954,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,1948,1965,,,FALSE,,,,,FALSE,,,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,1965,נפטר 1983,53,21,70,17
30,Inactive,אינו פעיל\ אינה פעילה,"ואלסון ג'קובס תמר ז""ל",תמר,,Tamar,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Ashkenazi,אשכנזי\ה,Israel\Palestine,ישראל\פלשתינה,1940,רמת גן,Ramat Gan,8,גמנסיה עברית הרצליה,state-secular,ממלכתי,Army Service,Army Service,Tel Aviv University,אוניברסיטת תל אביב,University,אוניברסיטה,1962,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Law Firm,"משרד עו""ד",1965,Law Firm,"משרד עו""ד",Judge,שיפוט,Magistrate - Tel Aviv-Jaffa,שלום- תל אביב יפו,1981,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,1981,1989,,,FALSE,,,,,FALSE,,,deceased,פטירה,1989,,41,16,49,8
31,Inactive,אינו פעיל\ אינה פעילה,"יניב אילנה ז""ל",אילנה,Ilan Ramon Yaniv,Ilana,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Mizrahi,מזרחי\ת,South-East Europe,דרום מזרח אירופה,1945,לא ידוע,Unknown,null,null,Unknown,לא ידוע,Unkown,Unkown,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,1968,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Unknown,לא ידוע,1969,"Security Forces (Police, IDF, ISA) ","כוחות הבטחון (צה""ל, משטרה, שב""כ)",Judge - specialty,שיפוט (מומחיות),Magistrate - Tel Aviv District,שלום- מחוז תל אביב,1982,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,1982,1989,,,FALSE,,,,,FALSE,,,deceased,פטירה,1989,נפטרה 1989,37,13,44,7
32,Inactive,אינו פעיל\ אינה פעילה,בן-עתו ,הדסה,Ben-Itto,Hadassah,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Ashkenazi,אשכנזי\ה,Eastern Europe,מזרח אירופה,1926,ירושלים,Jerusalem,3,מעלה,religious (state and independent),דתי (ממלכתי\עצמאי),Army Service,Army Service,Tel Aviv University,אוניברסיטת תל אביב,University,אוניברסיטה,1953,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,District Court,"בימ""ש מחוזי",1955,Law Firm,"משרד עו""ד",Judge,שיפוט,Magistrate - Tel Aviv-Jaffa,שלום- תל אביב יפו,1960,Acting Judge,שיפוט בפועל,District - Tel Aviv-Jaffa,מחוזי- תל אביב יפו,1970,Judge,שיפוט,District - Tel Aviv-Jaffa,מחוזי- תל אביב יפו,unknown,Acting Judge,שיפוט בפועל,Supreme Court,עליון,1980,Judge,שיפוט,District - Tel Aviv-Jaffa,מחוזי- תל אביב יפו,1981,"סגנות נשיאות בימ""ש",District - Tel Aviv-Jaffa,מחוזי- תל אביב יפו,1989,null,null,null,null,null,null,null,null,null,null,null,TRUE,1980,1988,,,TRUE,1970,1979,,,TRUE,1960,1969,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,1991,פרשה מוקדם כדי לכתוב ספר http://www.globes.co.il/news/article.aspx?did=1000678731,34,5,65,31
33,Inactive,אינו פעיל\ אינה פעילה,"אוסטרר ז""ל",ישראל,Aostrr late,Israel,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Ashkenazi,אשכנזי\ה,West-North Europe,מערב וצפון אירופה,1899,חוץ לארץ,abroad,null,גמנסיה בצרנוביץ בוינה,Unknown,לא ידוע,Unkown,Unkown,Germany,גרמניה,Abroad,"חו""ל",1922,PhD,PhD,Germany,גרמניה,1922,בית ספר למסחר בוינה,Unknown,לא ידוע,Unknown,Unknown,לא ידוע,Judge,שיפוט,Magistrate - Unknown,שלום- לא ידוע,1950,Acting Judge,שיפוט בפועל,Distrcit - Unknown,מחוזי- מחוז לא ידוע,1953,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,TRUE,1953,1969,,,TRUE,1950,1952,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,1969,נפטר. מועד פרישה תוקן לגיל 70.,51,Unknown,70,19
34,Inactive,אינו פעיל\ אינה פעילה,ולנשטיין שולמית,שולמית,Wallenstein Shulamit,Shulamit,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Ashkenazi,אשכנזי\ה,West-North Europe,מערב וצפון אירופה,1925,ירושלים,Jerusalem,3,גמנסיה עברית - ירושלים,state-secular,ממלכתי,Unkown,Unkown,Law Classes (British Mandate),לימודי משפטים במנדט הבריטי,Abroad,"חו""ל",1950,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Unknown,לא ידוע,1951,Public Prosecutor,פרקליטות המדינה,Judge,שיפוט,Distrcit - Unknown,מחוזי- מחוז לא ידוע,1969,Vice President,"סגנות לנשיאות בימ""ש",Distrcit - Unknown,מחוזי- מחוז לא ידוע,1984,Acting Judge,שיפוט בפועל,Supreme Court,עליון,1988,Vice President,"סגנות לנשיאות בימ""ש",Distrcit - Unknown,מחוזי- מחוז לא ידוע,1989,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,1988,1991,,,TRUE,1969,1987,,,FALSE,,,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,1991,,44,18,66,22
35,Active,פעיל\ה,אופיר ,אלון,Ofir,oak,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Unknown,לא ידוע,Israel\Palestine,ישראל\פלשתינה,1967,לא ידוע,Unknown,null,null,Unknown,לא ידוע,Army Service,Army Service,College of Management,המכללה למנהל,College,מכללה,1996,Masters,Masters,Tel Aviv University (TAU),אוניברסיטת תל אביב,2013,לא ידוע,Unknown,לא ידוע,1997,"Security Forces (Police, IDF, ISA) ","כוחות הבטחון (צה""ל, משטרה, שב""כ)",Judge - specialty,שיפוט (מומחיות),Magistrate - Southern District,שלום- מחוז דרום,2007,Judge,שיפוט,Magistrate - Southern District,שלום- מחוז דרום,2014,null,"סגנות נשיאות בימ""ש",null,שלום- מחוז דרום,2017,null,שיפוט בכיר,null,שלום- מחוז דרום,2020,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,2007,9999,,,FALSE,,,,,FALSE,,,null,null,9999,תואר שני נוסף באונ northwestern  שיקגו,40,10,FALSE,null
36,Active,פעיל\ה,אבו טהה ,נסר,,Nasser,Male,זכר,Palestinian\Arab,ערבי\פלסטיני,Muslim,מוסלמי\ת,null,null,None-Jewish,לא יהודי\ה,Israel\Palestine,ישראל\פלשתינה,1963,תל שבע,Tel Sheva,1,מקיף תל שבע,Arab,ערבי (ממלכתי\עצמאי),Unkown,Unkown,Abroad (other),"חו""ל (אחר)",Abroad,"חו""ל",1991,PhD,PhD,Europe - other,אירופה (אחר),1991,לא ידוע,Magistrate Court,"בימ""ש שלום",1993,Public Prosecutor,פרקליטות המדינה,Judge,שיפוט,Magistrate - Southern District,שלום- מחוז דרום,2002,Vice President,"סגנות לנשיאות בימ""ש",Magistrate - Northern District,שלום- מחוז צפון,2010,Judge,שיפוט,District - Beer Sheva,מחוזי- באר שבע,2012,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,TRUE,2012,9999,,,TRUE,2002,2011,,,FALSE,,,,,FALSE,,,null,null,9999,-99,39,9,FALSE,null
37,Inactive,אינו פעיל\ אינה פעילה,"שצקי עדנה ז""ל",עדנה,,rejuvenation,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Ashkenazi,אשכנזי\ה,Israel\Palestine,ישראל\פלשתינה,1932,תל אביב -יפו,Tel Aviv Jaffa,8,תיכון חדש,state-secular,ממלכתי,Unkown,Unkown,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,1956,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,District Court,"בימ""ש מחוזי",1958,Public Prosecutor,פרקליטות המדינה,Judge,שיפוט,Magistrate - Unknown,שלום- לא ידוע,1965,Judge,שיפוט,District - Tel Aviv-Jaffa,מחוזי- תל אביב יפו,1979,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,TRUE,1979,1992,,,TRUE,1965,1978,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,1992,פרישה מוקדמת מטעם לא ידוע,33,7,60,27
38,Inactive,אינו פעיל\ אינה פעילה,ברנשטיין ,מרים,,Miriam,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Ashkenazi,אשכנזי\ה,West-North Europe,מערב וצפון אירופה,1931,תל אביב -יפו,Tel Aviv Jaffa,8,בלפור,state-secular,ממלכתי,Unkown,Unkown,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,1953,PhD,PhD,Hebrew University of Jerusalem (HUJI),האוניברסיטה העברית בירושלים,1970,לא ידוע,District Court,"בימ""ש מחוזי",1957,Unkown,לא ידוע,Judge,שיפוט,Magistrate - Jerusalem,שלום- ירושלים,1984,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,1984,1992,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,1992,,53,27,61,8
39,Inactive,אינו פעיל\ אינה פעילה,ברמן שמידט ,שושנה,Bremen Schmidt,Rose,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Ashkenazi,אשכנזי\ה,Eastern Europe,מזרח אירופה,1934,לא ידוע,Unknown,null,null,Unknown,לא ידוע,Army Service,Army Service,Tel Aviv University,אוניברסיטת תל אביב,University,אוניברסיטה,1955,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,District Court,"בימ""ש מחוזי",1957,Law Firm,"משרד עו""ד",Judge,שיפוט,Magistrate - Rehovot,שלום- רחובות,1968,Acting Judge,שיפוט בפועל,District - Tel Aviv-Jaffa,מחוזי- תל אביב יפו,1980,Judge,שיפוט,District - Tel Aviv-Jaffa,מחוזי- תל אביב יפו,1981,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,TRUE,1980,1993,,,TRUE,1968,1979,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,1993,,34,11,59,25
40,Inactive,אינו פעיל\ אינה פעילה,שושנה,נתניהו,Rose,Netanyahu,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Ashkenazi,אשכנזי\ה,Eastern Europe,מזרח אירופה,1923,חיפה,Haifa,7,הריאלי,state-secular,ממלכתי,Army Service,Army Service,Law Classes (British Mandate),לימודי משפטים במנדט הבריטי,Abroad,"חו""ל",1946,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Unknown,לא ידוע,1947,Law Firm,"משרד עו""ד",Judge,שיפוט,Magistrate - Haifa,שלום- חיפה,1969,Judge,שיפוט,District - Haifa,מחוזי- חיפה,1974,Judge,שיפוט,Supreme Court,עליון,1982,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,1982,1993,,,TRUE,1974,1981,,,TRUE,1969,1973,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,1993,-99,46,22,70,24
41,Inactive,אינו פעיל\ אינה פעילה,"אוסטרובסקי כהן ז""ל",ויקטוריה,,Victoria,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Ashkenazi,אשכנזי\ה,Eastern Europe,מזרח אירופה,1923,תל אביב -יפו,Tel Aviv Jaffa,8,גימנסיה הרצליה,state-secular,ממלכתי,Army Service,Army Service,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,unknown,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Unknown,לא ידוע,1947,Public Prosecutor,פרקליטות המדינה,Judge,שיפוט,District - Tel Aviv-Jaffa,מחוזי- תל אביב יפו,1978,Vice President,"סגנות לנשיאות בימ""ש",District - Tel Aviv-Jaffa,מחוזי- תל אביב יפו,Unknown,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,TRUE,1978,1993,,,FALSE,,,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,1993,נפטרה 2016,55,31,70,15
